system:index,Acrisols,Albeluvisols,Alisols,Amazonas_Solimoes,Amazonia,Amazonia_1,Andosols,Area_Estavel,Arenosols,Borborema,Caatinga,Calcisols,Cambisols,Campinarana,Cerrado,Chernozems,Cobertura_Cenozoica,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Costeira_Margem_Continental,Cryosols,Durisols,Estepe,Ferralsols,Ferralsols_1,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Fluvisols,Formacao_Pioneira,Gleysols,Gurupi,Gypsisols,Histosols,Histosols_1,Humisols,ID,Kastanozems,Leptosols,Lixisols,Luvisols,Mantiqueira,Massa_d_agua,Mata_Atlantica,Nitisols,Pampa,Pantanal,Parana,Parecis,Parnaiba,Phaeozems,Planosols,Plinthosols,Podzols,Reconcavo_Tucano_Jatoba,Regosols,Sandysols,Sao_Francisco,Sao_Luis,Savana,Savana_Estepica,Solonchaks,Solonetz,Stagnosols,Thinsols,Tocantis,Umbrisols,Vertisols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,roughness,sand,silt,slope,soc,spi,.geo
00000000000000000836_0,26,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,10,10,0,0,0,0,0,0,1,0,1,0,0,0,0,11,2103,0,10,3,9,0,0,1,20,0,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,2,0,11,0,0,1,2,109,10.0,58.28,11.95,2.98,168,115,130,48,2.8,38,3,76.0,4,173,24641,-2.675297414630402,-2.535535472255243,19005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,177,-2,52,13,711,156,4,231,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80580666797229,-29.64184417738447]}"
00000000000000000837_0,26,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2104,0,9,3,11,0,0,1,19,0,0,1,0,0,7,1,0,0,0,1,1,0,0,0,0,0,2,0,10,0,0,2,1,109,10.0,58.28,11.95,2.98,168,110,132,43,2.8,16,7,76.0,6,184,24642,-2.67295888129094,-2.108429078553088,19006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,2,182,-5,52,25,706,159,7,232,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.806884646313236,-29.642383166554943]}"
00000000000000000838_0,25,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2105,0,9,3,12,0,0,1,19,0,0,1,0,0,7,1,0,0,0,1,1,0,0,0,0,0,2,0,10,0,0,3,1,109,10.0,58.28,11.95,2.98,167,108,133,40,2.8,-1,-9,76.0,10,187,24642,-2.426953007277913,-2.253681286003876,19007,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,4,179,-6,52,32,705,160,11,235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80769313006894,-29.642652661140175]}"
00000000000000000839_0,24,0,1,0,0,0,1,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2106,0,9,3,13,0,0,1,19,0,0,1,0,0,7,1,0,0,0,1,1,0,0,0,0,0,1,0,10,0,0,3,1,110,9.0,58.28,11.95,2.98,165,109,138,33,2.8,-3,-14,76.0,10,204,24642,-2.649540826910117,-2.429681350797097,19008,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,5,167,-1,52,31,706,154,12,239,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.808771108409886,-29.642922155725415]}"
0000000000000000083a_0,24,0,1,0,0,0,0,1,1,0,0,0,4,0,0,3,0,1,0,0,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2107,0,9,2,14,0,0,1,19,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,3,1,109,9.0,58.28,11.95,2.98,164,112,145,35,2.8,-3,-24,76.0,12,204,24643,-2.659582565559989,-2.835473232023654,19009,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,5,169,-5,52,39,712,141,14,242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.8095795921656,-29.643461144895888]}"
0000000000000000083b_0,24,0,1,0,0,0,1,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2108,0,10,4,10,0,0,1,19,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,3,1,109,10.0,58.28,11.95,2.98,166,105,164,31,2.8,42,6,76.0,5,181,24640,-1.021443972165916,-0.682015340191101,19007,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,3,163,-1,53,18,617,216,6,242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80769313006894,-29.640766199043526]}"
0000000000000000083c_0,23,0,1,0,0,0,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2109,0,10,4,12,0,0,1,19,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,3,1,109,9.0,58.28,11.95,2.98,165,105,160,33,2.8,14,0,76.0,9,189,24641,-1.307157040561167,-0.891393180252428,19008,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,5,166,2,53,31,636,201,11,241,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.808771108409886,-29.641035693628766]}"
0000000000000000083d_0,22,0,2,0,0,0,0,1,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2110,0,10,3,13,0,0,1,20,0,0,1,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,3,1,109,9.0,58.28,11.95,2.98,164,108,153,31,2.8,12,11,76.0,10,199,24641,-1.509759230243705,-1.632361552336037,19009,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,4,164,-2,53,36,657,188,11,238,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80984908675083,-29.641305188213998]}"
0000000000000000083e_0,22,0,2,0,0,0,0,1,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2111,0,10,3,13,0,0,1,20,0,0,1,0,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,3,1,109,9.0,58.28,11.95,2.98,164,109,159,26,2.8,13,15,76.0,11,201,24641,-1.799042822619163,-1.25203754227567,19010,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,3,152,-5,53,43,632,206,12,235,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.810657570506535,-29.641305188213998]}"
0000000000000000083f_0,22,0,2,0,0,0,1,1,1,0,0,0,3,0,0,3,0,1,0,0,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2112,0,9,2,13,0,0,1,18,0,0,1,0,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,3,1,109,9.0,58.28,11.95,2.98,163,108,180,24,2.8,34,-21,76.0,15,215,24641,-1.823728835284114,-1.577133622934854,19011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,14,145,1,53,61,562,256,21,242,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.81173554884748,-29.641574682799238]}"
