system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,ID,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,prediction_clay_0_30cm,prediction_sand_0_30cm,prediction_silt_0_30cm,roughness,sand,silt,slope,soc,spi,.geo
000000000000000001af,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,1,19,3,142,4.0,9.59,5.85,1.25,187,118,224,66,1.6,8,4,18.28,0,258,1992,-1.942170324214721,-1.719672911843423,2532,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,-3,178,-1,61,14.69907498508328,70.60860171300934,14.692323301907386,11,514,258,3,80,0,"{""type"":""Point"",""coordinates"":[-37.33241003494167,-6.992173670674772]}"
000000000000000001b0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,47,0,0,0,3,0,1,12,4,140,5.0,9.59,5.85,1.25,180,141,202,59,1.6,-25,-1,18.28,2,277,2167,-1.569767148087184,-1.459362006131028,2510,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,173,0,61,16.817098912273586,67.13962963484725,16.043271452879154,7,483,312,2,80,0,"{""type"":""Point"",""coordinates"":[-37.310850281348266,-7.167072991294081]}"
000000000000000001b1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,57,0,0,0,4,0,1,13,2,141,4.0,9.59,5.85,1.25,209,137,240,69,1.6,-2,-7,18.28,2,247,2000,-1.290455280066167,-1.412850635969404,2518,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,2,180,-1,61,17.95113316531612,66.09256515808603,15.956301676597864,9,520,237,3,75,0,"{""type"":""Point"",""coordinates"":[-37.31812753426749,-7.000525566947877]}"
000000000000000001b2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,63,0,0,0,4,0,0,14,1,141,4.0,9.59,5.85,1.25,206,133,240,69,1.6,13,-6,18.28,0,249,2001,-0.888418281697131,-1.417444678623496,2517,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3,194,0,61,19.62086561091875,64.47770130468714,15.901433084394098,10,523,234,3,74,0,"{""type"":""Point"",""coordinates"":[-37.31704843181256,-7.00160466940281]}"
000000000000000001b3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,65,0,0,0,2,0,1,15,1,141,4.0,9.59,5.85,1.25,201,132,232,80,1.6,33,14,18.28,0,243,1998,-0.869296167528461,-0.474405216613611,2510,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,2,206,0,62,20.063479255738194,61.921101033622385,18.01541971063943,8,516,250,3,80,2,"{""type"":""Point"",""coordinates"":[-37.310850281348266,-6.998639367202268]}"
000000000000000001b4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,72,0,0,0,2,0,1,20,0,141,4.0,9.59,5.85,1.25,193,138,234,71,1.6,-36,-14,18.28,-2,255,1996,-1.98535295537171,-1.70945073090876,2521,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,-3,207,0,61,13.973156838643769,72.55297674645871,13.47386641489752,13,517,246,4,82,0,"{""type"":""Point"",""coordinates"":[-37.32136038253123,-6.996485621393453]}"
000000000000000001b5,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,76,0,0,0,2,0,1,15,2,141,4.0,9.59,5.85,1.25,203,132,232,78,1.6,33,14,18.28,0,246,1998,-0.856429159904914,-1.251666567587618,2511,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,2,189,0,62,19.90319224844848,62.24689429539938,17.849913456152134,8,516,251,3,80,2,"{""type"":""Point"",""coordinates"":[-37.31112228651252,-6.998906913265474]}"
000000000000000001b6,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,84,0,0,0,1,0,1,16,4,141,4.0,9.59,5.85,1.25,190,131,229,84,1.6,0,-12,18.28,0,262,1992,-0.728265660814344,-1.351437716971027,2524,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,-2,226,0,61,17.5326226456778,68.13011741698956,14.33725993733264,7,517,252,2,76,0,"{""type"":""Point"",""coordinates"":[-37.32405813866857,-6.992708762801185]}"
000000000000000001b7,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,91,0,0,0,3,0,1,18,2,141,4.0,9.59,5.85,1.25,201,128,231,72,1.6,-1,2,18.28,0,256,2005,-1.959327901878327,-1.452557392221393,2509,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,180,0,62,12.88026403011341,71.60633735917665,15.513398610709942,2,535,232,0,73,0,"{""type"":""Point"",""coordinates"":[-37.309236086766916,-7.005377068894025]}"
000000000000000001b8,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,95,0,0,0,1,0,1,19,3,142,4.0,9.59,5.85,1.25,186,120,225,76,1.6,0,0,18.28,-1,257,1992,-1.463819354862672,-1.629343022352188,2531,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,-4,207,-3,61,16.969065809078742,69.37654074547824,13.654393445443036,11,514,257,4,78,0,"{""type"":""Point"",""coordinates"":[-37.331602937651,-6.992441216737977]}"
