id,coord_x,coord_y,depth,clay,silt,sand
ctb0787-74,-46.8,-24.1833,12.5,0,3,97
ctb0787-74,-46.8,-24.1833,37.5,1,1,98
ctb0787-75,-45.8833,-23.1333,12.5,64,23,13
ctb0787-75,-45.8833,-23.1333,30,82,12,6
ctb0787-76,-48.4667,-22.9667,15,47,19,34
ctb0787-76,-48.4667,-22.9667,32.5,29,18,53
ctb0787-77,-44.8667,-22.7333,11,30,8,62
ctb0787-77,-44.8667,-22.7333,26.5,33,10,57
ctb0787-78,-46.9333,-23.2667,9.5,17,15,68
ctb0787-78,-46.9333,-23.2667,21,14,21,65
ctb0787-78,-46.9333,-23.2667,66.5,4,18,78
ctb0787-80,-48.0167,-23.0167,7.5,10,3,87
ctb0787-80,-48.0167,-23.0167,20,7,7,86
ctb0787-82,-48.1667,-23,10,56,32,12
ctb0787-86,-48.5,-22.7833,7.5,8,2,90
ctb0787-86,-48.5,-22.7833,25,12,0,88
ctb0789-11-EXTRA,-61.46667,-4.483333,10,5,58,37
ctb0789-20-EXTRA,-62.36667,-5.333333,10,14,68,18
ctb0789-24-EXTRA,-62.76667,-6.266667,10,10,71,19
ctb0789-32-EXTRA,-63.15,-7.416667,10,29,47,24
ctb0789-34-EXTRA,-63.21667,-7.583333,10,45,31,24
ctb0789-38-EXTRA,-63.08333,-7.666667,7.5,25,57,18
ctb0789-38-EXTRA,-63.08333,-7.666667,22.5,25,59,16
ctb0789-38-EXTRA,-63.08333,-7.666667,40,32,56,12
ctb0789-39-EXTRA,-63.11667,-7.75,10,27,57,16
ctb0789-40-EXTRA,-63.13333,-7.75,10,25,66,9
ctb0789-41-EXTRA,-63.08333,-7.016667,10,26,28,46
ctb0789-42-EXTRA,-63.11667,-7.083333,10,33,36,31
ctb0789-43-EXTRA,-63.16667,-7.883333,10,5,69,26
ctb0789-47-EXTRA,-63.99515,-8.638501,35,4,64,32
ctb0789-8-EXTRA,-60.75,-4.083333,10,11,64,25
ctb0791-1,-38.80214,-12.55251,6.5,51,12,37
ctb0791-1,-38.80214,-12.55251,24.5,59,8,33
ctb0791-3,-38.62217,-12.42281,5,59,33,8
ctb0791-3,-38.62217,-12.42281,20,69,26,5
ctb0791-3,-38.62217,-12.42281,51,82,16,2
ctb0791-4,-41.48303,-11.43036,5,37,29,34
ctb0791-4,-41.48303,-11.43036,15,33,28,39
ctb0791-4,-41.48303,-11.43036,31,39,29,32
ctb0791-5,-41.65853,-11.33506,5,26,22,52
ctb0791-5,-41.65853,-11.33506,16,30,20,50
ctb0791-5,-41.65853,-11.33506,31,26,25,49
ctb0791-6,-41.29117,-11.34703,8.5,34,20,46
ctb0791-6,-41.29117,-11.34703,41,32,19,49
ctb0793-PERFIL-01,-51.52735,-29.23168,10,41,37,22
ctb0793-PERFIL-01,-51.52735,-29.23168,32,58,26,16
